qnorm.02,Pol_TSS_02,Pol_gb_02,Pol_TE1K_02,Pol_TE2K_02,Pol_TE3K_02,Pol_TE4K_02,Pol_TE5K_02,ZT2
28.3029754011775,5.4,0.87,1.2,1.474,1.643,1.083,0.3,8.3294885
38.9719170782296,2.2,3.07,1.968,3.053,3.085,1.01,2.112,9.489759
99.6692837803647,22.8,1.86,3.302,3.401,6.524,3.012,0.95225,10.44798825
39.1445402266911,10.9,1.01,1.614,1.383,1.02,1.488,2.662,7.2243735
40.3906645689422,8.6,8.33,14.092,4.596,24.588,8.556,5.085543,10.461855
41.9778163248253,10.8,4.49,6.878,6.758,8.2045,5.672,3.783,7.4061645
50.5784868576088,1.2,2.28,4.218,5.7375,5.104,3.256,2.615,9.529637
52.338601342268,4.2,0.95,0.44,0.985,0.9,0.648,1.146,8.036832
98.0704314559037,1.5,0.84,0.9,1.5,0.525,0.94,0.86,6.37269
64.528858143009,0.3,0.51,0.75,0.76155,0.3,0.375,0.225,5.887495
49.1805200948519,22,3.66,4.7815,4.9545,11.716,1.443,6.319,8.1963285
31.9270552485221,11.1,2.18,6.876,6.766,5.466,3.411,2.315545243619,9.7339255
54.5372168974431,5.2,0.63,0.6,0.5318,0.821,0.225,0.675,7.21655
37.817973203991,1.9,1.51,1.594680851064,1.577,1.869,1.35,1.922,6.304382
49.3539489626034,11.2,2.36,5.642703862661,4.339,5.081,6.314,8.57,7.65258825
65.715249824111,7.8,2.78,10.582,11.236222,9.528,8.272,7.448,8.726281
38.2211682936608,10.8,2.32,4.395,3.210621,1.199,1.255,1.3735,10.10562
38.2101592798773,1.2,1.58,1.875,1.743,1.257,1.939,2.39886039886,6.8737445
75.9243365559215,12.7,0.79,1.524,2.508,2.475,1.778,2.179,7.4862195
53.9444626158473,9.1,3.71,10.347,5.978,3.984,2.231,1.027,11.0931
46.5321456557333,9,1.5,1.897,1.149,2.718,2.757,2.871,6.3822655
35.1779121424903,23.6,2.14,2.579617834395,6.532,7.692,3.99,2.9205,7.7394035
22.4070810630671,5.5,2.75,7.12,7.589,6.136,4.763,1.727019498607,8.795047
84.9021693317755,14.5,5.08,16.663,23.475,26.499,20.439,26.46685,8.880549
40.1165342979291,13.5,15.98,9.535,7.307,3.425,2.619,6.047,7.89005
41.1190674801983,9.1,0.01,2.316,4.138504,3.233,4.338368,2.86225,7.629143
40.1986323753416,10.2,1.74,2.686,3.167602,6.570451,7.139,2.664751,8.325193
97.9751439349899,24.5,10.86,17.936,9.1735,10.101,16.576,20.477,12.99276
27.6447971677142,12.7,1.25,1.27,3.005,2.548,31.038756,67.189,7.872345
63.8767510154194,8,1.2,1.85,1.281,2.174,0.825,1.425,7.4579465
10.7990729331771,2.1,0.29,0.6,0.3,0.225,0.075,0.225,7.757092
50.1433205022662,16.7,10.47,40.422,26.472,16.596246,10.179,6.651,11.751005
43.886308755933,7.7,0.97,0.753,0.771,1.603,1.247,1.234,7.7990175
46.9398743198806,7,1.28,1.625,3.1,2.296,1.679,2.448,6.910479
49.214163815844,11.2,2.34,3.357079,2.609,5.575086,3.156,1.617,8.8019175
49.4341625476436,0.8,0,2.948,3.607,1.845,1.288,4.01,7.68957
37.3660710314519,8.4,1.41,4.386,3.402,3.81132,3.487152,0.05178,7.4265235
30.3652719677586,3.4,0.93,5.280151,1.2705,0.978,2.071919,2.993,7.9447155
36.3311831759946,1,0.7,0.863,1.163001,0.993,0.937,0,6.0323645
60.0236284125116,1.6,1.57,2.982,1.86,0.538,0.49918,0.75,6.602393
19.9057340134231,8.4,3.34,7.035,9.55,8.358,7.972,5.16,10.020713
46.9411002137203,10.3,1.64,3.5645,3.296798,3.012,1.368,2.204,8.5134455
32.6003596663282,2,2.17,2.088,3.339,2.49,1.197,2.264,6.078957
